Num	MZ	True_MZ	0.806612601	L_MZ	D_MZ_Error_ppm	FoundInScans	D_MZ_Peak_Error_mean_ppm	D_MZ_Peak_Error_sd_ppm	D_MZ_Min_ppm	D_MZ_Max_ppm	Quant20_MZ_Diff_ppm	Quant80_MZ_Diff_ppm	RT	True_RT	0.106051154	negative = earlier	Shift	Xn	Charge	ScanEvent	Ionisation_Mode	Tracer	Area_N	Area_L	Fold	PeakRatio	LeftBorder_N	RightBorder_N	LeftBorder_L	RightBorder_L	Group_ID	Corr	Adducts	Hetero_Elements	ObservedIsoRatioMean_native_1	ObservedIsoRatioSD_native_1	TheoreticalIsoRatio_native_1	ObservedIsoRatioMean_labelled_1	ObservedIsoRatioSD_labelled_1	TheoreticalIsoRatio_labelled_1	CM12C_13CFg1.Area	CM12C_13CFg1.RT-Shift	CM12C_13CFg1.MZ-Shift	CM12C_13CFg1.MZ
306	468.7310294	467.2310294	1	479.2711524	-0.164717228	5	0.351163978	0.845902921	-1.389502643	2.333499136	-0.409765333	0.805108932	4.146530894	4.3839	0		-0.009232882	12	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	23819.26021	22648.89264	1.051674384	1.169781532	13.5	13.5	13.5	13.5	16	0.9407158	-	-	0.17139	0.04883	0.12979	0.26744	0.0536	0.17039				
2808	166.08585												4.114316					9		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										16										9347398.0	0.23590088	0.0	166.08585
2810	265.15393												4.162872					9		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										16										57849.266	0.2381115	0.8056567	265.15414
2812	120.0804												4.114316					8		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										16										875606.25	0.23590088	-0.12707144	120.08038
2814	458.2008												4.146531					12		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										16										26246.787	0.23736906	0.066603065	458.20084
2816	467.231												4.146531					3		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										16										23860.7	0.23736906	-0.32657915	467.23083
297	311.6487252	310.1487252	1	322.1889776	0.168877044	17	-0.021298646	0.572269938	-1.798059996	1.252234411	-0.341790408	0.386344386	4.196297917	4.434866667	0		-0.00822242	12	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	56593.96089	53946.8925	1.049068042	1.072012595	17	17	17	17	17	0.952397395	-	-	0.12837	0.02892	0.12979	0.16101	0.03206	0.17039				
2818	310.1487												4.196298					12		LTQ Orbitrap XL (MS lvl: 1, pol: +)	+										17										60628.23	0.23856878	-0.19679318	310.14865
302	339.6799074	338.1799074	1	350.2202125	0.311014929	9	0.055237597	0.989659299	-2.912390973	3.133733264	-0.584181938	0.606994777	4.205723083	4.434866667	0		0.001202747	12	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	37874.55241	36448.88367	1.039114195	1.099405404	17	17	17	17	18	0.904028341	-	-	0.15297	0.03179	0.12979	0.15059	0.04374	0.17039				
304	367.7111878	366.2111878	1	378.251427	0.106984716	16	0.075684797	0.915736861	-2.356131723	2.227198478	-0.272799814	0.660532882	4.205723083	4.434866667	0		0.001202747	12	1	LTQ Orbitrap XL (MS lvl: 1, pol: +)	+	FLE	42866.08079	43183.27015	0.992654809	1.031537768	16	17	17	17	18	0.943174205	-	-	0.15916	0.03256	0.12979	0.15794	0.03001	0.17039				
